source<Long>,target<Long>,weight<Double>
17,982,0.03
18,313,0.96
18,330,0.85
18,333,0.86
18,428,0.2
18,712,0.97
18,720,0.19
18,737,0.36
18,767,0.38
18,879,0.23
19,214,0.67
19,256,0.99
19,337,0.9
19,377,0.47
19,400,0.76
19,436,1
19,814,1
20,113,0.89
20,236,0.94
20,528,0.47
21,102,0.5
21,268,0.63
21,289,0.02
21,520,0.53
21,694,0.91
21,932,0.36
22,442,0.39
22,642,0.79
22,931,0.89
23,52,0.93
23,348,0.91
23,354,0.9
23,831,0.89
23,935,0.64
24,61,0.81
24,154,0.59
24,157,0.25
24,257,0.22
24,546,0.27
24,570,0.66
24,772,0.22
24,858,0.6
24,882,0.92
24,905,0.7
24,997,0.7
25,370,0.18
26,36,0.93
26,53,0.44
26,168,0.86
26,245,0.96
26,269,0.3
26,283,0.27
26,389,0.57
26,423,0.5
26,430,0.11
26,509,0.49
26,653,0.93
26,804,0.93
27,10,0.07
27,211,0.88
27,219,0.69
27,281,0.31
27,371,0.17
27,378,0.74
27,475,0.12
27,709,0.68
27,758,0.47
27,966,0.95
27,978,0.72
28,66,0.58
28,125,0.84
28,213,0.78
28,265,0.31
28,333,0.37
28,339,0.08
28,598,0.67
28,599,0.51
28,790,0.3
28,833,0.16
28,991,0.82
29,268,0.94
29,496,0.82
29,579,0.46
29,653,0.51
29,764,0.71
29,817,0.86
30,253,0.25
30,547,0.24
30,624,0.68
30,663,0.5
30,710,0.75
30,863,0.74
30,888,0.54
31,279,0.16
31,294,1
31,302,0.68
31,315,0.39
31,408,0.8
31,425,0.89
31,509,0.22
31,677,0.9
31,705,0.52
31,757,0.93
31,815,0.7
31,822,0.93
31,912,0.91
31,970,0.32
32,44,0.72
32,79,0.93
32,144,0.22
32,179,0.37
32,253,0.09
32,259,0.06
32,281,0.83
32,321,0.35
32,332,0.56
32,381,0.64
32,402,0.66
32,417,0.93
32,593,0.36
32,678,0.24
32,751,0.36
32,756,0.71
32,777,0.78
32,886,0.63
32,891,0.09
32,902,0.14
32,909,0.4
32,917,0.65
33,254,0.79
33,397,0.19
33,708,0.65
33,910,1
34,81,0.15
34,404,0.68
34,408,0.08
34,731,0.66
34,735,0.38
34,1008,0.26
35,47,0.32
35,183,0.64
35,233,0.62
35,268,0.92
35,291,0.86
35,314,1
35,699,0.71
35,745,0.39
35,826,0.9
35,830,0.67
35,832,0.2
35,863,0.5
36,26,0.82
36,83,0.36
36,328,0.4
36,480,0.9
36,512,0.13
36,530,0.86
36,664,0.23
36,845,0.64
36,931,0.44
36,977,0.54
37,182,0.83
37,239,0.88
37,265,0.82
37,442,0.01
37,625,0.21
37,662,0.41
37,690,0.92
37,699,0.2
37,782,0.02
37,843,0.82
37,966,0.34
37,982,0.27
37,985,0.89
38,689,0.69
38,785,0.9
39,102,0.3
39,290,1
39,307,0.59
39,445,0.28
39,477,0.9
39,536,0.58
39,568,0.01
39,700,0.85
39,751,0.02
39,813,0.12
39,887,0.41
39,941,0.61
39,964,0.31
40,59,0.48
40,268,0.69
40,570,0.38
40,734,0.65
40,750,0.95
41,527,0.81
41,743,0.02
41,826,0.68
41,914,0.31
42,3,0.24
42,32,0.64
42,50,0.73
42,169,0.81
42,254,0.97
42,896,0.12
44,124,0.56
44,255,0.3
45,31,0.53
45,81,0.79
45,147,0.69
45,276,0.98
45,277,0.8
45,304,0.17
45,370,0.05
45,405,0.89
45,572,0.13
45,841,0.58
45,862,0.1
45,991,0.55
46,295,1
46,390,0.91
46,429,0.73
46,450,0.93
46,798,0.5
46,885,0.9
47,143,0.45
47,175,0.43
47,192,0.19
47,201,0.48
47,208,0.13
47,213,0.25
47,234,0.95
47,258,0.67
47,313,0.18
47,420,0.1
47,470,0.67
47,512,0.59
47,538,0.17
47,569,0.77
47,576,0.28
47,604,0.59
47,631,0.17
47,643,0.04
47,653,0.86
47,687,0.91
47,733,0.33
47,797,0.87
47,814,0.44
47,825,0.32
47,891,0.52
47,946,0.74
47,968,0.24
47,981,0.45
47,995,0.21
47,1004,0.22
48,13,0.53
48,107,0.29
48,208,0.21
48,377,0.11
48,541,0.76
48,624,0.53
48,637,0.63
48,716,0.91
49,50,0.48
49,75,0.92
49,103,0.84
49,197,0.12
49,204,0.92
49,265,0.75
49,333,0.55
49,375,0.44
49,383,0.08
49,405,0.22
49,418,0.14
49,466,0.92
49,591,0.21
49,603,0.37
49,653,0.75
49,719,0.62
49,776,0.34
50,39,0.19
50,47,0.22
50,75,0.25
50,108,0.3
50,113,0.51
50,128,0.28
50,164,0.08
50,194,0.44
50,204,0.1
50,240,0.09
50,272,0.31
50,281,0.65
50,300,0.45
50,315,0.6
50,326,0.5
50,375,0.22
50,383,0.65
50,441,0.38
50,451,0.1
50,474,0.52
50,505,0.07
50,508,0.35
50,522,0.82
50,538,0.11
50,664,0.24
50,668,1
50,714,0.03
50,767,0.13
50,773,0.12
50,787,0.67
50,797,0.45
50,805,0.73
50,814,0.98
50,824,0.98
50,825,1
50,863,0.4
50,902,0.26
50,917,0.67
50,938,0.07
50,949,0.01
50,957,0.09
51,91,0.04
51,164,0.86
51,226,0.25
51,428,0.52
51,468,0.81
51,485,0.73
51,646,0.98
51,827,0.51
51,862,0.58
51,884,0.26
51,940,0.53
51,962,0.3
52,105,0.46
52,139,0.41
52,176,0.09
52,290,0.23
52,451,0.69
52,491,0.06
52,572,0.51
52,686,0.28
52,692,0.34
52,693,0.23
52,832,0.73
52,839,0.58
52,850,0.08
52,864,0.7
53,281,0.51
53,299,0.49
53,483,0.62
53,525,0.57
53,602,0.72
53,754,0.87
53,867,0.55
53,921,0.12
54,298,0.61
54,323,0.42
54,432,0.81
54,743,0.95
54,951,0.35
54,954,0.37
55,417,0.22
56,187,0.91
57,10,0.95
57,32,0.43
57,75,0.22
57,134,0.52
57,137,0.17
57,177,0.7
57,179,0.88
57,192,0.53
57,253,0.97
57,258,0.68
57,277,0.17
57,281,0.8
57,313,0.09
57,358,0.46
57,393,0.99
57,405,0.5
57,466,0.9
57,474,0.86
57,627,0.9
57,628,0.51
57,664,0.32
57,722,0.54
57,765,0.07
57,810,0.94
57,855,0.83
57,862,0.08
57,989,0.56
58,122,0.95
58,139,0.97
58,254,0.66
58,401,0.85
58,577,0.18
58,751,0.05
58,775,0.78
58,866,0.52
59,99,0.14
59,278,0.12
59,450,0.31
59,504,0.24
59,541,0.6
59,586,0.63
59,683,0.07
59,761,0.02
59,817,0.57
59,907,0.84
59,917,0.95
59,938,0.39
60,19,0.67
60,49,0.78
60,123,0.13
60,164,0.83
60,270,0.08
60,326,0.16
60,358,0.36
60,438,0.02
60,473,0.34
60,475,0.28
60,529,0.15
60,595,0.81
60,651,0.03
60,690,0.36
60,798,0.01
60,811,0.21
60,814,0.07
60,840,0.43
60,949,0.89
61,63,0.72
61,81,0.77
61,275,0.41
61,309,0.14
61,345,0.9
61,627,0.83
61,757,0.88
61,787,0.31
61,841,0.74
61,889,0.13
61,909,0.15
61,928,0.78
62,144,0.06
62,261,0.64
62,529,0.65
62,566,0.97
62,678,0.34
62,715,0.46
62,788,0.2
62,789,0.26
63,78,0.08
63,390,0.87
63,488,0.47
63,524,0.88
63,615,0.69
63,694,0.06
63,960,0.38
63,973,0.95
63,1001,0.62
64,220,0.06
64,301,0.87
64,541,0.27
64,600,0.32
64,624,0.44
64,693,0.9
65,186,0.9
65,384,0.06
65,479,0.15
65,490,0.6
65,684,0.51
65,805,0.03
66,69,0.64
66,378,0.15
66,488,0.75
66,763,0.4
66,852,0.64
67,31,0.65
67,50,0.73
67,60,0.1
67,112,0.69
67,114,0.73
67,128,0.91
67,164,0.88
67,207,0.35
67,240,0.03
67,311,0.55
67,410,0.38
67,512,0.3
67,538,0.23
67,648,0.5
67,731,0.12
67,767,0.94
67,814,0.88
67,929,0.05
68,257,0.41
68,258,0.79
68,388,0.62
68,420,0.04
68,636,0.27
68,665,0.43
68,694,0.99
68,722,0.06
68,794,0.92
68,1013,0.74
69,198,0.92
69,327,0.13
69,411,0.8
69,600,0.92
69,659,0.75
69,999,0.01
70,594,0.96
71,131,0.85
71,242,0.74
71,341,0.63
71,471,0.28
71,475,0.47
71,604,0.2
72,43,0.1
72,48,0.75
72,114,0.73
72,147,0.69
72,989,0.59
73,29,0.57
73,592,0.99
73,605,0.24
73,680,0.7
73,794,0.76
73,808,0.41
74,2,0.58
74,5,0.38
74,681,0.5
74,738,0.87
74,751,0.13
74,772,0.3
74,972,0.8
75,10,0.39
75,14,0.76
75,49,0.12
75,111,0.44
75,114,0.81
75,128,0.86
75,147,0.78
75,160,0.54
75,164,0.69
75,192,0.11
75,281,0.69
75,354,0.13
75,380,0.41
75,413,0.77
75,420,0.54
75,457,0.75
75,466,0.72
75,541,0.56
75,638,0.06
75,688,0.36
75,720,0.46
75,741,0.57
75,768,0.53
75,805,0.72
75,842,0.89
75,909,0.91
75,932,0.39
75,946,0.83
75,978,0.91
78,216,0.83
78,411,1
78,431,0.98
78,505,1
78,664,0.46
78,681,0.79
78,748,1
78,831,0.91
79,96,0.98
79,107,0.9
79,141,0.87
79,197,0.49
79,244,0.17
79,253,0.27
79,276,0.38
79,298,0.56
79,426,0.24
79,460,0.91
79,670,0.43
79,699,0.48
79,705,0.01
79,721,0.5
79,891,0.31
79,962,0.89
79,977,0.8
80,397,0.69
80,491,0.84
80,890,0.14
81,398,0.41
81,623,0.48
81,696,0.66
81,818,0.01
81,908,0.06
82,729,0.46
82,747,0.02
82,954,0.95
83,69,0.07
83,292,0.79
83,486,0.19
83,830,0.32
84,115,0.82
84,635,0.85
84,753,0.43
84,790,0.66
84,998,0.47
85,816,0.5
85,845,0.07
85,946,0.83
86,301,0.29
86,761,0.49
87,24,0.13
87,425,0.55
87,536,0.85
87,639,0.01
87,743,0.48
87,809,0.46
87,930,0.91
88,50,0.06
88,52,0.18
88,54,0.48
88,98,0.53
88,465,0.46
88,515,0.62
88,722,0.73
88,768,0.25
88,995,0.96
89,956,1
90,173,0.41
90,184,0.46
90,197,0.19
90,344,1
90,375,0.7
90,398,0.18
90,647,0.4
90,754,0.69
90,767,0.25
90,921,0.49
91,10,0.46
91,67,0.28
91,192,0.73
91,243,0.4
91,437,0.2
91,586,0.71
91,604,0.77
91,610,0.76
91,719,0.88
91,734,0.19
91,831,0.32
92,197,0.01
92,295,0.95
92,597,0.1
92,731,0.63
92,831,0.75
92,921,0.28
92,922,0.87
92,927,0.36
93,13,0.23
93,27,0.26
93,45,0.49
93,98,0.54
93,269,0.92
93,335,0.84
93,404,0.58
93,445,0.67
93,710,0.44
93,751,0.05
93,795,0.28
93,855,0.63
93,872,0.89
93,955,0.76
94,65,0.64
94,397,0.18
94,627,0.36
94,690,0.06
95,50,0.08
95,83,0.32
95,204,0.87
95,306,0.49
95,632,0.49
95,634,0.85
95,752,0.74
95,845,0.56
95,1019,0.74
96,248,0.21
96,253,0.43
96,495,0.73
96,555,0.97
96,672,0.8
97,404,0.02
98,35,0.14
98,88,0.47
98,91,0.67
98,141,0.65
98,174,0.89
98,277,0.27
98,316,0.85
98,473,0.85
98,506,0.51
98,563,0.65
98,595,0.43
98,660,0.74
98,688,0.3
98,692,0.74
98,699,0.1
98,858,0.19
98,892,0.4
98,895,0.32
98,971,0.53
99,104,0.55
99,134,0.35
99,140,0.5
99,200,0.08
99,300,0.36
99,471,0.01
99,621,0.38
99,651,0.47
99,901,0.91
99,914,0.16
99,916,0.75
100,172,0.11
100,221,0.9
100,642,0.7
100,675,0.97
100,687,0.63
101,18,0.76
101,22,0.7
101,468,0.83
101,585,0.47
101,857,0.33
101,1011,0.33
102,39,0.45
102,267,0.6
102,607,0.97
102,664,0.05
102,908,0.48
102,1013,0.92
103,36,0.33
103,50,0.22
103,143,0.71
103,383,0.76
103,410,0.99
103,472,0.76
103,477,0.39
103,503,0.73
103,538,0.84
103,659,0.44
103,708,0.86
103,780,0.21
103,782,0.97
103,786,0.1
103,821,0.07
104,29,0.33
104,515,0.43
104,682,0.52
104,783,0.03
104,865,0.55
104,919,0.87
105,106,0.76
105,191,0.89
105,207,0.83
105,498,0.07
105,693,0.51
105,731,0.18
105,997,0.19
106,31,0.64
106,116,0.37
106,909,0.35
106,982,0.26
107,87,0.88
107,248,0.97
107,555,0.37
107,792,0.04
107,973,0.26
108,32,0.68
108,225,0.5
108,522,0.73
108,631,0.31
108,715,0.9
108,774,0.28
108,934,0.32
108,972,0.75
108,1011,0.31
110,207,0.55
110,387,0.46
110,532,0.98
110,960,0.44
111,58,0.19
111,113,0.58
111,160,0.17
111,216,0.64
111,333,0.48
111,365,1
111,431,0.72
111,473,0.68
111,538,0.1
111,580,0.67
111,736,0.05
111,759,0.29
111,922,0.98
111,972,0.42
112,18,0.08
112,45,0.28
112,115,0.74
112,147,0.85
112,428,0.96
112,762,0.92
112,774,0.04
113,49,0.15
113,69,0.91
113,204,0.8
113,265,0.85
113,279,0.69
113,377,0.41
113,415,0.56
113,474,0.72
113,488,0.15
113,505,0.36
113,541,0.88
113,547,0.87
113,548,0.28
113,557,0.82
113,624,0.81
113,677,0.98
113,825,0.22
113,908,0.53
113,967,0.11
114,276,0.13
114,355,0.96
114,364,0.05
114,366,0.08
114,411,0.93
114,515,0.89
114,550,0.74
114,572,0.69
114,652,0.9
115,15,0.22
115,29,0.93
115,140,0.35
115,189,0.64
115,353,0.69
115,388,0.68
115,653,0.67
115,686,0.96
116,137,0.63
116,186,0.08
116,720,0.86
116,912,0.64
118,349,0.17
118,477,0.36
118,644,0.25
118,862,0.79
119,11,0.07
119,121,0.49
119,211,0.1
119,213,0.5
119,291,0.43
119,432,0.7
119,568,0.34
119,607,0.3
119,678,0.28
119,855,0.6
119,861,0.93
120,345,0.98
120,774,0.62
121,267,0.8
121,269,0.77
121,312,0.49
121,480,0.14
121,505,0.48
121,527,0.56
121,694,0.92
121,789,0.73
121,989,0.15
122,27,0.77
122,140,0.51
122,506,0.05
122,588,0.55
122,822,0.21
123,143,0.45
123,165,0.69
123,240,0.14
123,244,0.65
123,393,0.18
123,465,0.88
123,604,0.09
123,882,0.64
123,949,0.85
123,962,0.49
124,223,0.41
124,287,0.86
124,654,0.01
124,774,0.53
124,905,0.03
125,43,0.03
125,52,0.12
125,194,0.1
125,382,0.54
125,719,0.26
125,764,0.36
125,778,0.36
125,809,0.39
126,801,0.22
126,935,0.29
127,320,0.17
127,418,0.73
127,449,0.03
127,479,0.85
127,936,0.83
128,18,0.59
128,91,0.87
128,108,0.18
128,164,0.5
128,286,0.81
128,319,0.12
128,383,0.94
128,405,0.15
128,466,0.36
128,636,0.08
128,705,0.87
128,818,0.91
128,841,0.62
128,949,0.7
129,190,0.27
129,397,0.64
129,499,0.8
129,709,0.09
130,954,0.4
130,962,0.37
131,12,0.67
131,75,0.6
131,128,0.51
131,133,0.06
131,160,0.96
131,272,0.36
131,285,0.17
131,331,0.16
131,360,0.59
131,505,0.48
131,587,0.63
131,649,0.48
131,708,0.13
131,760,0.74
131,845,0.42
131,852,0.73
131,944,0.12
132,113,0.1
132,273,0.25
132,326,0.35
132,560,0.56
132,758,0.59
133,53,0.06
133,155,0.94
133,415,0.73
133,551,0.27
133,797,0.86
133,1018,0.63
134,137,0.59
134,193,0.72
134,271,0.71
134,379,0.92
134,586,0.47
134,964,0.17
135,51,0.68
135,83,0.76
135,186,0.96
135,200,0.46
135,265,0.72
135,313,0.54
135,508,0.85
135,513,0.84
135,707,1
135,740,0.83
135,991,0.3
136,157,0.5
136,286,0.62
136,422,0.59
137,80,0.53
137,187,0.76
137,214,0.7
137,404,0.6
137,448,0.38
137,805,0.12
138,47,0.58
138,178,0.73
138,309,0.86
138,777,0.28
139,671,0.89
139,726,0.72
140,39,0.28
140,105,0.84
140,151,0.92
140,259,0.02
140,315,0.51
140,374,0.2
140,381,0.08
140,505,0.7
140,625,0.2
140,694,0.62
140,743,0.39
140,757,0.12
141,2,0.32
141,6,0.9
141,32,0.42
141,88,0.79
141,108,0.48
141,164,0.64
141,205,0.28
141,245,0.13
141,411,0.56
141,416,0.83
141,442,0.31
141,506,0.36
141,586,0.12
141,639,0.9
141,774,0.12
141,806,0.9
141,858,0.28
141,928,0.47
141,934,0.38
141,984,0.7
142,123,0.15
142,185,0.07
142,300,0.03
142,332,0.5
142,840,0.22
142,848,0.52
142,863,0.73
142,946,0.42
143,10,0.57
143,26,0.25
143,38,0.86
143,45,0.22
143,67,0.4
143,112,0.65
143,209,0.18
143,229,0.58
143,319,0.12
143,332,0.98
143,405,0.54
143,442,0.95
143,449,0.08
143,538,0.42
143,649,0.2
143,705,0.95
143,825,0.98
143,835,0.37
143,872,0.49
143,879,0.07
144,290,0.59
144,627,0.6
144,890,0.34
145,218,0.17
145,356,0.21
145,367,0.25
145,597,0.51
146,297,0.79
146,307,0.18
146,565,0.98
146,721,0.56
146,929,0.96
147,59,0.03
147,159,0.33
147,197,0.27
147,294,0.09
147,333,0.8
147,507,0.11
147,576,0.87
147,761,0.04
148,98,0.27
148,133,0.6
148,159,0.47
148,184,0.84
148,215,0.99
148,226,0.84
148,268,0.76
148,281,0.79
148,307,0.81
148,333,0.54
148,425,0.84
148,458,0.9
148,628,0.81
148,649,0.47
148,728,0.26
148,760,0.83
148,831,0.75
148,917,0.36
148,945,0.11
149,75,0.4
149,114,0.84
149,124,0.26
149,154,0.67
149,261,0.39
149,281,0.5
149,544,0.92
149,680,0.29
149,771,0.1
149,778,0.09
149,780,0.83
149,862,0.23
150,511,0.02
150,684,0.2
150,818,0.69
151,270,0.39
151,597,0.02
152,160,0.77
152,612,0.31
152,652,0.38
152,688,0.91
152,708,0.38
152,712,0.23
152,1021,0.26
153,309,0.29
153,485,0.58
153,501,0.23
154,119,0.3
154,141,0.18
154,360,0.12
154,466,0.04
154,699,0.27
154,713,1
154,828,0.43
154,829,0.35
154,917,0.51
154,989,0.66
155,587,0.74
155,881,0.41
156,92,0.17
156,162,0.87
156,202,0.85
156,244,0.95
156,253,0.12
156,290,0.42
156,392,0.28
156,513,0.33
156,811,0.32
156,928,0.48
157,6,0.9
157,48,0.96
157,306,0.41
157,328,0.65
157,432,0.76
157,467,0.02
157,586,0.3
157,812,0.3
157,832,0.26
157,942,0.42
158,344,0.11
158,620,0.98
158,707,0.59
158,805,0.71
158,810,0.7
159,10,0.87
159,12,0.84
159,18,0.85
159,95,0.38
159,152,0.97
159,182,0.93
159,217,0.99
159,236,0.93
159,315,0.8
159,598,0.88
159,708,0.94
159,737,0.24
159,741,0.18
159,767,0.06
159,812,0.15
159,927,0.23
159,989,0.53
160,148,0.48
160,197,0.33
160,302,0.3
160,544,0.89
160,678,0.71
160,821,0.62
160,927,0.26
161,13,0.83
161,25,0.4
161,173,0.33
161,236,0.02
161,237,0.33
161,258,0.33
161,563,0.89
161,722,0.84
161,917,0.39
161,1001,0.24
162,250,0.28
162,558,0.49
162,714,0.34
162,844,0.99
163,399,0.48
163,1014,0.76
164,14,0.85
164,245,0.55
164,246,0.02
164,248,0.48
164,253,0.39
164,259,0.9
164,271,1
164,281,0.39
164,300,0.57
164,375,0.42
164,409,0.42
164,458,0.07
164,495,0.47
164,550,0.2
164,601,0.61
164,638,0.94
164,671,0.49
164,720,0.03
164,725,0.15
164,738,0.3
164,743,0.09
164,805,0.25
164,811,0.19
164,862,0.4
164,902,0.12
164,907,0.76
164,978,0.96
164,989,0.01
165,123,0.25
165,207,0.97
165,253,0.2
165,322,0.08
165,458,0.47
165,475,0.15
165,610,0.6
165,619,0.38
165,937,0.65
165,939,0.61
165,953,0.71
165,1019,0.79
166,172,0.42
166,351,0.72
166,414,0.99
166,696,0.83
166,816,0.8
166,1001,0.77
167,549,0.33
167,687,0.15
168,30,0.78
168,571,0.22
169,58,0.15
169,413,0.5
169,599,0.36
169,857,0.5
169,1013,0.04
170,2,0.97
170,111,0.45
170,230,0.17
170,269,0.95
170,374,0.16
170,411,0.84
170,415,0.41
170,431,0.54
170,473,0.32
170,543,0.93
170,897,0.22
170,928,0.78
170,933,0.06
170,938,0.39
170,950,0.74
171,186,0.75
171,205,0.19
171,219,0.26
171,285,0.66
171,397,0.52
171,829,0.4
171,862,0.41
171,929,0.97
172,196,0.88
172,593,0.31
172,610,0.7
172,670,0.74
172,770,0.32
172,820,0.57
173,14,0.54
173,115,0.02
173,151,0.88
173,164,0.84
173,408,0.73
173,428,0.7
173,618,0.32
173,627,0.27
173,680,0.99
173,815,0.9
173,966,0.6
174,132,0.84
174,244,0.86
174,977,0.15
175,43,0.84
175,45,0.37
175,197,0.53
175,256,0.62
175,536,0.31
176,446,0.13
176,747,0.56
177,192,0.44
177,344,0.21
177,358,0.51
177,404,0.98
177,466,1
177,474,0.55
177,480,0.66
177,553,0.51
177,556,0.97
177,597,0.39
177,651,0.52
177,655,0.46
177,657,0.41
177,663,0.19
177,670,0.96
177,671,0.86
177,724,0.33
177,803,0.41
177,819,0.99
177,901,0.67
177,917,0.71
177,938,0.84
178,22,0.7
178,241,0.19
178,272,0.51
178,298,0.2
178,342,0.12
178,403,0.28
178,404,0.21
178,546,0.55
178,576,0.92
178,614,0.8
178,660,0.32
178,663,0.37
178,738,0.66
178,871,0.32
178,902,0.22
178,1002,0.34
179,243,0.34
179,315,0.71
179,454,0.87
179,747,0.41
179,912,0.04
179,1013,0.41
180,67,0.01
180,256,0.35
180,345,0.19
180,695,0.57
180,924,0.83
181,174,0.54
181,543,0.95
181,638,0.84
181,684,0.42
182,168,0.34
182,213,0.7
182,216,0.23
182,344,0.29
182,478,1
182,767,0.43
183,197,0.92
183,288,0.5
183,417,0.97
183,817,0.49
183,885,0.31
183,1012,0.49
184,281,0.37
184,306,0.7
184,358,0.02
184,529,0.39
184,703,0.7
184,1004,0.71
185,36,0.62
185,47,0.58
185,59,0.02
185,72,0.67
185,90,0.58
185,99,0.71
185,182,0.63
185,240,0.85
185,281,0.8
185,432,0.52
185,499,0.82
185,569,0.05
185,821,0.88
185,832,0.77
185,842,0.91
185,981,0.47
186,198,0.13
186,272,0.04
186,315,0.59
186,368,0.89
186,407,0.48
186,709,0.07
187,180,0.21
187,393,0.96
187,542,0.93
187,584,0.03
188,113,0.83
188,140,0.94
188,279,0.9
188,835,0.11
188,904,0.03
188,977,0.98
189,57,0.56
189,105,0.54
189,126,0.61
189,393,0.3
189,457,0.65
189,477,0.79
189,762,0.58
189,814,0.96
189,826,0.11
189,982,0.89
190,194,0.23
190,268,0.28
190,750,0.5
190,809,0.02
191,39,0.3
191,290,0.71
191,757,0.34
191,825,0.92
192,14,0.98
192,61,0.54
192,75,0.14
192,147,0.84
192,169,0.52
192,215,0.85
192,233,0.79
192,241,0.88
192,248,0.99
192,258,0.24
192,276,0.78
192,481,0.61
192,607,0.3
192,742,0.92
193,10,0.16
193,164,0.24
193,177,0.51
193,373,0.73
193,555,0.43
193,600,0.18
193,942,0.57
193,952,0.08
194,6,0.55
194,11,0.99
194,15,0.93
194,50,0.78
194,79,0.64
194,103,0.12
194,164,0.35
194,207,0.2
194,243,0.77
194,366,0.63
194,375,0.64
194,411,0.52
194,541,0.32
194,625,0.89
194,632,0.48
194,674,0.36
194,738,0.23
194,802,0.89
194,881,0.99
194,949,0.17
194,962,0.27
194,989,0.8
194,1010,0.65
195,57,0.23
195,60,0.45
195,202,0.86
195,214,0.46
195,570,0.88
195,650,0.31
195,760,0.56
195,842,0.61
195,882,0.82
196,417,0.59
196,749,0.05
197,36,0.32
197,47,0.44
197,194,0.47
197,230,0.07
197,251,0.58
197,304,0.85
197,333,0.19
197,473,0.18
197,477,0.27
197,521,0.41
197,595,0.81
197,612,0.73
197,637,0.4
197,678,0.43
197,703,0.88
197,706,0.46
197,806,0.75
197,833,0.54
197,848,0.83
197,917,0.1
197,938,0.13
197,955,0.86
198,244,0.63
198,345,0.34
198,477,0.24
198,639,0.01
199,51,0.29
199,343,0.93
199,381,0.32
199,401,0.62
199,420,0.79
199,716,0.99
199,768,0.45
199,899,0.06
200,11,0.5
200,49,0.31
200,174,0.74
200,320,0.92
200,326,1
200,428,0.8
200,458,0.54
200,513,0.23
200,553,0.29
200,720,0.13
200,740,0.41
200,812,0.29
200,818,0.6
200,956,0.15
201,538,0.35
201,907,0.69
201,962,0.74
201,1022,0.35
202,19,0.84
202,113,0.37
202,193,0.31
202,227,0.36
202,546,0.7
202,604,0.12
202,902,0.94
202,941,0.64
203,19,0.59
203,95,0.99
203,194,0.01
203,304,0.31
203,306,0.63
203,326,0.99
203,505,0.97
203,659,0.76
203,845,0.52
203,850,0.27
204,14,0.13
204,39,0.7
204,93,0.2
204,137,0.45
204,312,0.99
204,326,0.33
204,354,0.82
204,400,0.03
204,407,0.93
204,473,0.5
204,738,0.84
204,766,0.11
204,796,0.41
204,831,0.45
204,906,0.43
204,953,0.32
205,156,0.55
205,170,0.08
205,306,0.46
